hotel_id,hotel_name
st-signature-jalan-besar-7-hours-9am-4pm,"ST Signature Jalan Besar, DAYUSE, 7 Hours, 9AM-4PM"
st-signature-lite-jalan-besar,"ST Signature Jalan Besar, SHORT OVERNIGHT, 8 Hours, 1159PM-8AM"
sandpiper,Sandpiper Hotel
st-signature-jalan-besar,ST Signature Jalan Besar
st-signature-dusk-bugis-beach,"ST Signature Bugis Beach, DAYUSE, 5 Hours, 4PM-9PM"
st-signature-dusk-jalan-besar,"ST Signature Jalan Besar, DAYUSE, 5 Hours, 5PM-10PM"
seaside-glamping-heritage-chalet,Seaside Glamping@Heritage Chalet
1-st-signature-bugis-beach-8-hours-11am-7pm,"ST Signature Bugis Beach, DAYUSE, 8-9 Hours, check in 8AM or 11AM"
heritage-collection-on-boat-quay-quayside-wing,Heritage Collection on Boat Quay - Quayside Wing
k-12-singapore,K Hotel 12
st-signature-dawn-bugis-beach,"ST Signature Bugis Beach, DAYUSE, 5 Hours, 9AM-2PM"
st-signature-lite,"ST Signature Bugis Beach, SHORT OVERNIGHT, 8 Hours, 11PM-7AM"
deluxe-studio-suite-by-recharge,Deluxe Studio & Suite by Recharge
lings,Lings
st-signature-jalan-besar-13-hours-6pm-7am,"ST Signature Jalan Besar, SHORT OVERNIGHT, 13 Hours, 6PM-7AM"
harbour-ville,Harbour Ville Hotel
recharge-studio-apartments-amp-suites-singapore,Recharge Studio Apartments & Suites
st-signature-dawn-jalan-besar,"ST Signature Jalan Besar, DAYUSE, 5 Hours, 10AM-3PM"
seng-wah-singapore,SENG WAH HOTEL
synergy-b,Synergy B
